Domain,Have_IP,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,DNS_Record,Web_Traffic,Domain_Age,Label
graphicriver.net,0,1,1,0,0,0,0,1,1,Bad
ecnavi.jp,0,1,1,1,0,0,0,1,1,Bad
hubpages.com,0,1,1,0,0,0,0,1,0,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
icicibank.com,0,1,3,0,0,0,0,1,0,Bad
nypost.com,0,1,4,0,0,1,0,1,1,Bad
kienthuc.net.vn,0,1,2,0,0,0,1,1,1,Bad
thenextweb.com,0,1,6,0,0,0,0,1,0,Bad
tobogo.net,0,1,2,0,0,0,0,1,0,Bad
akhbarelyom.com,0,1,5,0,0,0,0,1,0,Bad
tunein.com,0,1,5,0,0,0,0,1,0,Bad
tune.pk,0,1,3,0,0,0,1,1,1,Bad
sfglobe.com,0,1,4,0,0,0,0,0,0,Bad
mic.com,0,1,3,0,0,0,0,1,0,Bad
thenextweb.com,0,1,6,0,0,0,0,1,0,Bad
couchtuner.eu.com,0,1,3,0,0,0,1,1,1,Bad
olx.in,0,1,3,0,0,0,0,1,0,Bad
venturebeat.com,0,1,4,0,0,1,0,1,0,Bad
allegro.pl,0,1,2,0,0,0,0,1,1,Bad
allegro.pl,0,1,2,0,0,0,0,1,1,Bad
tinnhanh360.net,0,1,1,0,0,0,1,1,1,Bad
metro.co.uk,0,1,4,0,0,0,0,1,1,Bad
atwiki.jp,0,1,2,0,0,0,0,1,1,Bad
emgn.com,0,1,2,0,0,0,0,1,0,Bad
nguyentandung.org,0,1,1,0,0,0,0,0,0,Bad
motthegioi.vn,0,1,2,0,0,0,1,1,1,Bad
spankbang.com,0,1,3,0,0,0,0,1,0,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
mic.com,0,1,3,0,0,0,0,1,0,Bad
thenextweb.com,0,1,7,0,0,0,0,1,0,Bad
emgn.com,0,1,2,0,0,0,0,1,0,Bad
depositphotos.com,0,1,1,0,0,0,0,1,0,Bad
serverfault.com,0,1,3,0,0,1,0,1,0,Bad
kakaku.com,0,1,6,0,0,0,0,1,0,Bad
indianexpress.com,0,1,4,0,0,0,0,1,0,Bad
nypost.com,0,1,4,0,0,1,0,1,1,Bad
distractify.com,0,1,10,0,0,0,0,1,0,Bad
sourceforge.net,0,1,3,0,0,0,1,1,1,Bad
babal.net,0,1,4,0,0,0,0,0,0,Bad
serverfault.com,0,1,3,0,0,1,0,1,0,Bad
cookpad.com,0,1,1,0,0,0,0,1,0,Bad
plarium.com,0,1,5,0,0,0,0,1,0,Bad
pikabu.ru,0,1,3,0,0,0,0,1,0,Bad
grantland.com,0,1,2,0,0,0,0,1,1,Bad
allegro.pl,0,1,3,0,0,0,0,1,1,Bad
nguyentandung.org,0,1,1,0,0,0,0,0,0,Bad
allegro.pl,0,1,2,0,0,0,0,1,1,Bad
europa.eu,0,1,6,0,0,0,0,1,1,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
persianblog.ir,0,1,4,0,0,0,1,1,1,Bad
distractify.com,0,1,10,0,0,0,0,1,0,Bad
kenh14.vn,0,1,2,0,0,0,1,1,1,Bad
twitter.com,0,1,1,0,0,0,0,1,1,Bad
nesn.com,0,1,3,0,0,0,0,1,0,Bad
fishki.net,0,1,1,0,0,0,0,1,0,Bad
syosetu.com,0,1,3,0,0,0,1,1,1,Bad
akhbarelyom.com,0,1,5,0,0,0,0,1,0,Bad
allegro.pl,0,1,1,0,0,0,0,1,1,Bad
getpocket.com,0,1,1,1,0,1,0,1,0,Bad
mylust.com,0,1,3,0,0,1,0,1,1,Bad
censor.net.ua,0,1,3,0,0,0,0,1,0,Bad
pornsharing.com,0,1,1,0,0,0,0,0,0,Bad
genius.com,0,1,3,0,0,0,0,1,0,Bad
sourceforge.net,0,1,3,0,0,0,1,1,1,Bad
codecanyon.net,0,1,4,0,0,0,0,1,1,Bad
qz.com,0,1,2,0,0,0,0,1,0,Bad
kenh14.vn,0,1,2,0,0,0,1,1,1,Bad
uproxx.com,0,1,4,0,0,1,0,1,0,Bad
babal.net,0,1,4,0,0,0,0,0,0,Bad
mic.com,0,1,3,0,0,0,0,1,0,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
paytm.com,0,1,2,0,0,0,0,1,0,Bad
motthegioi.vn,0,1,3,0,0,0,1,1,1,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
thenextweb.com,0,1,6,0,0,0,0,1,0,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
genius.com,0,1,3,0,0,0,0,1,0,Bad
thenextweb.com,0,1,5,0,0,0,0,1,0,Bad
kienthuc.net.vn,0,1,2,0,0,0,1,1,1,Bad
sourceforge.net,0,1,3,0,0,0,1,1,1,Bad
nypost.com,0,1,4,0,0,1,0,1,1,Bad
ap.org,0,1,4,0,0,0,0,1,0,Bad
indianexpress.com,0,1,4,0,0,0,0,1,0,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
correios.com.br,0,1,5,0,0,0,0,1,1,Bad
web.de,0,1,6,0,0,0,0,1,1,Bad
noticias.uol.com.br,0,1,6,0,0,0,0,1,1,Bad
bdnews24.com,0,1,5,0,0,0,0,1,0,Bad
kenh14.vn,0,1,2,0,0,0,1,1,1,Bad
codecanyon.net,0,1,4,0,0,0,0,1,1,Bad
tunein.com,0,1,2,0,0,0,0,1,0,Bad
nguyentandung.org,0,1,1,0,0,0,0,0,0,Bad
kickass.to,0,1,1,0,0,0,1,1,1,Bad
weathernews.jp,0,1,4,0,0,0,0,1,1,Bad
atwiki.jp,0,1,2,0,0,0,0,1,1,Bad
plarium.com,0,1,5,0,0,0,0,1,0,Bad
chaturbate.com,0,1,3,0,0,0,0,1,0,Bad
babal.net,0,1,4,0,0,0,0,0,0,Bad
sberbank.ru,0,1,9,0,0,0,0,1,0,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
pikabu.ru,0,1,3,0,0,0,0,1,0,Bad
mirtesen.ru,0,1,1,0,0,0,0,1,0,Bad
mirtesen.ru,0,1,1,0,0,0,0,1,0,Bad
distractify.com,0,1,10,0,0,0,0,1,0,Bad
jalopnik.com,0,1,2,0,0,0,0,1,1,Bad
techcrunch.com,0,1,4,0,0,0,0,1,1,Bad
twitter.com,0,1,1,0,0,0,0,1,1,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
thenextweb.com,0,1,6,0,0,0,0,1,0,Bad
arstechnica.com,0,1,4,0,0,0,0,1,1,Bad
tunein.com,0,1,5,0,0,0,0,1,0,Bad
torrentdn.com,0,1,2,0,0,0,0,1,0,Bad
searchengineland.com,0,1,1,0,0,0,0,1,0,Bad
nesn.com,0,1,3,0,0,0,0,1,0,Bad
paytm.com,0,1,2,0,0,0,0,1,0,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
metro.co.uk,0,1,4,0,0,0,0,1,1,Bad
censor.net.ua,0,1,14,0,0,0,0,1,0,Bad
depositphotos.com,0,1,1,0,0,0,0,1,0,Bad
thenextweb.com,0,1,6,0,0,0,0,1,0,Bad
putlocker.is,0,1,1,0,0,0,0,0,1,Bad
tunein.com,0,1,5,0,0,0,0,1,0,Bad
lifehacker.com,0,1,2,0,0,0,0,1,1,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
mylust.com,0,1,3,0,0,1,0,1,1,Bad
buzzfil.net,0,1,3,0,0,0,0,0,1,Bad
censor.net.ua,0,1,3,0,0,0,0,1,0,Bad
ap.org,0,1,4,0,0,0,0,1,0,Bad
akhbarelyom.com,0,1,5,0,0,0,0,1,0,Bad
sourceforge.net,0,1,3,0,0,0,1,1,1,Bad
kakaku.com,0,1,6,0,0,0,0,1,0,Bad
jezebel.com,0,1,2,0,0,0,0,1,1,Bad
grantland.com,0,1,2,0,0,0,0,1,1,Bad
gov.uk,0,1,3,0,0,0,0,1,1,Bad
emgn.com,0,1,2,0,0,0,0,1,0,Bad
bdnews24.com,0,1,5,0,0,0,0,1,0,Bad
web.de,0,1,5,0,0,0,0,1,1,Bad
extratorrent.cc,0,1,3,0,0,0,0,1,0,Bad
torcache.net,0,1,2,0,0,0,0,0,1,Bad
twitter.com,0,1,1,0,0,0,0,1,1,Bad
seekingalpha.com,0,1,2,0,0,0,0,1,0,Bad
web.tv,0,1,8,0,0,0,0,1,1,Bad
indianexpress.com,0,1,4,0,0,0,0,1,0,Bad
